GRAU DOS VÉRTICES:
01: 16 grau(s)
02: 09 grau(s)
03: 10 grau(s)
04: 06 grau(s)
05: 03 grau(s)
06: 04 grau(s)
07: 04 grau(s)
08: 04 grau(s)
09: 05 grau(s)
10: 02 grau(s)
11: 03 grau(s)
12: 01 grau(s)
13: 02 grau(s)
14: 05 grau(s)
15: 02 grau(s)
16: 02 grau(s)
17: 02 grau(s)
18: 02 grau(s)
19: 02 grau(s)
20: 03 grau(s)
21: 02 grau(s)
22: 02 grau(s)
23: 02 grau(s)
24: 05 grau(s)
25: 03 grau(s)
26: 03 grau(s)
27: 02 grau(s)
28: 04 grau(s)
29: 03 grau(s)
30: 04 grau(s)
31: 04 grau(s)
32: 06 grau(s)
33: 12 grau(s)
34: 17 grau(s)
